time,text,user,location,platform,tweet id,following,followers
2022-07-12T10:18:25,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/cYnvOOvt1g,Selfmag2,No Data,twitter,1.546801142843179e+18,28.0,23.0
2022-07-12T10:15:05,"Follina.
#treviso
#veneto https://t.co/Ufj4b9wjyS",GiuseppeBorin,No Data,twitter,1.5468003042508145e+18,535.0,67.0
2022-07-12T10:12:51,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/mwOvAWr13e https://t.co/UcAlC9zJQZ,tecnicahack,No Data,twitter,1.5467997425369336e+18,119.0,141.0
2022-07-12T10:01:42,"Злоумышленники развертывают бэкдор Rozena с помощью уязвимости Follina
https://t.co/O0OX2u50TZ",itsecru,No Data,twitter,1.546796938057732e+18,42.0,2197.0
2022-07-12T09:15:41,"ここ好き
Expert Q&amp;A: nao_sec Follina Zero-day Vulnerability
https://t.co/MfritWGyjL https://t.co/JtahdgTDzp",SttyK,No Data,twitter,1.5467853549253796e+18,820.0,6206.0
2022-07-12T08:17:43,"Hackers Exploiting Follina Bug to Deploy Rozena Backdoor

New phishing campaign is leveraging the recently disclosed Follina security vulnerability to distribute a undocumented backdoor on Windows systems! 😬

#Hackers #Follina #Phishing #Windows #Zadara

https://t.co/Ps1ZKFzJ3l",leejones65,No Data,twitter,1.546770766678614e+18,192.0,90.0
2022-07-12T08:02:22,"インタビュー受けました。

Expert Q&amp;A: nao_sec Follina Zero-day Vulnerability https://t.co/gixsMfXnVx",PINKSAWTOOTH,No Data,twitter,1.5467669050167214e+18,2044.0,3729.0
2022-07-12T07:47:49,"A new Expert Q&amp;A on our blog🔥

Our guest is amazing @nao_sec – a cybersecurity research team.

nao_sec shares how they discovered #Follina vulnerability, new #malware cases, and cybersecurity trends.  

Check out an exclusive interview👇
https://t.co/JA09wtLzEU",anyrun_app,No Data,twitter,1.5467632419798794e+18,171.0,19258.0
2022-07-12T07:42:56,"Hackers Exploiting Follina Bug to Deploy Rozena Backdoor 
A newly observed phishing campaign is leveraging the recently disclosed Follina security vulnerability to distribute a previously undocumented backdoor on Windows systems.
""Rozena is a backdoor ma… https://t.co/M1Kkwc5TDW",two_minwarning,No Data,twitter,1.5467620161735598e+18,826.0,540.0
2022-07-12T07:30:50,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/Hq4JWNgIfC via @TheHackersNews,KevinCh30842455,No Data,twitter,1.5467589716459028e+18,918.0,72.0
2022-07-12T06:51:44,"RT @Seguridadula: @unaaldia ""Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena"" https://t.co/gB3ggWM7nz",SecMcaballero,No Data,twitter,1.5467491315567903e+18,1200.0,673.0
2022-07-12T06:51:44,"RT @antoniojcaba: Ciberdelincuentes aprovechan #Follina para desplegar una puerta trasera en #Windows mediante el #malware #Rozena.
 https://t.co/BL2kFxMv9A vía @unaaldia",SecMcaballero,No Data,twitter,1.546749130088784e+18,1200.0,673.0
2022-07-12T06:49:08,"@unaaldia ""Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena"" https://t.co/0fN0cLbCj0",Seguridadula,No Data,twitter,1.5467484756138762e+18,1005.0,1739.0
2022-07-12T06:36:53,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/9QRZrqvhbH,dragonhack991,No Data,twitter,1.5467453911645716e+18,491.0,318.0
2022-07-12T06:34:20,"Ciberdelincuentes aprovechan #Follina para desplegar una puerta trasera en #Windows mediante el #malware #Rozena.
 https://t.co/uepDMlt53R vía @unaaldia",antoniojcaba,No Data,twitter,1.5467447500652872e+18,1048.0,1257.0
2022-07-12T06:34:02,"🚨 Hackers Exploiting #Follina Bug to Deploy Rozena Backdoor
https://t.co/rANe4ja8SQ",OSINT_info,No Data,twitter,1.5467446746558054e+18,941.0,189.0
2022-07-12T06:29:50,"🚨 Hackers Exploiting #Follina Bug to Deploy Rozena Backdoor
https://t.co/IpnmsPYrUx",Prohacktiv3,No Data,twitter,1.5467436207740273e+18,125.0,222.0
2022-07-12T06:27:07,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/iH9J2RxGKB,Acondel_,No Data,twitter,1.546742933235372e+18,36.0,266.0
2022-07-12T06:21:53,"Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/0tDYKd2xeB 

#TorsityIntel #Ciberseguridad",torsity_intel,No Data,twitter,1.5467416193989345e+18,402.0,149.0
2022-07-12T06:20:21,"#infosec #hacking
Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/i3yyRreR7L",juncotic,No Data,twitter,1.5467412324492247e+18,1223.0,1197.0
2022-07-12T06:13:08,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena #ciberseguridad @hispasec https://t.co/GR0exQytSY,web4x4_es,No Data,twitter,1.5467394150448333e+18,677.0,192.0
2022-07-12T06:06:21,Una campaña de phishing recientemente detectada se está aprovechando de la vulnerabilidad conocida como Follina descubierta hace poco tiempo para distribuir malware que instala ... [+ info en https://t.co/Cyz8c1QwrL] https://t.co/Vp7BAZZuNY,pimetic,No Data,twitter,1.5467377109746156e+18,688.0,219.0
2022-07-12T05:45:54,[Recomendado]Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/OEnOBtuFmW #seguridadsi #ciberseguridad,seguridad_si,No Data,twitter,1.5467325617910825e+18,853.0,1150.0
2022-07-12T05:44:02,"Hackers Exploiting Follina Bug to Deploy Rozena Backdoor 

https://t.co/53HoK6Tjmr https://t.co/FPftfTqVua",dynamgenix,No Data,twitter,1.5467320942687068e+18,20.0,2.0
2022-07-12T05:43:17,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena  https://t.co/2H2XkRWzxS,security_inside,No Data,twitter,1.546731904925311e+18,167.0,397.0
2022-07-12T05:41:17,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/cmz9enT9hR,SombreroBlanc0,No Data,twitter,1.5467314025568502e+18,1014.0,3554.0
2022-07-12T05:37:52,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/XRE0I9TUTQ,IntelSus_,No Data,twitter,1.546730539134161e+18,305.0,584.0
2022-07-12T05:37:34,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/tIKMWXW0OI https://t.co/OHs60D6Vhn,miguealvm,No Data,twitter,1.5467304655701484e+18,3098.0,3843.0
2022-07-12T05:36:18,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/jOtZb2l6ZK,tonidurans,No Data,twitter,1.5467301459139215e+18,329.0,209.0
2022-07-12T05:30:14,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/wzsdI484Iz,hackplayers,No Data,twitter,1.546728618973311e+18,1361.0,49827.0
2022-07-12T03:49:45,"Day 47-52 of #100DaysOfHacking 

Learned Follina MSDT Vulnerability CVE-2022-30190
- Malicious Word document to RCE

Resources:
https://t.co/kzh8NhhOLi
https://t.co/hqGPBHDzw2

#bugbounty #cybersecurity #hacking",imfaiqu3,No Data,twitter,1.5467033342662492e+18,306.0,121.0
2022-07-12T03:12:43,"☠️ Researchers have publicly revealed 'Follina', a zero-day vulnerability in Microsoft Office that can be exploited using malicious Word documents to enable code execution on a victim's system.
#Follina #zeroday #microsoft #cybersecurity https://t.co/QXRvYssJXq",cxseanc2,No Data,twitter,1.5466940145602478e+18,5.0,2.0
2022-07-12T03:12:38,"☠️ Researchers have publicly revealed 'Follina', a zero-day vulnerability in Microsoft Office that can be exploited using malicious Word documents to enable code execution on a victim's system.
#Follina #zeroday #microsoft #cybersecurity https://t.co/0TeC48jhQp",cxseanc1,No Data,twitter,1.5466939905731215e+18,4.0,1.0
2022-07-12T03:12:36,"☠️ Researchers have publicly revealed 'Follina', a zero-day vulnerability in Microsoft Office that can be exploited using malicious Word documents to enable code execution on a victim's system.
#Follina #zeroday #microsoft #cybersecurity https://t.co/5EMiXL8oGa",cxseanc,No Data,twitter,1.546693984327766e+18,4.0,1.0
2022-07-12T01:12:55,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/K87m2aYUoq,RenatomrfNeves,No Data,twitter,1.5466638647328932e+18,115.0,45.0
2022-07-12T01:04:10,"🧐 ""Attempt"" (emphasis on Attempt) to exploit #Follina CVE-2022-30190 in an Excel (.xlsx) file.
In file: _rels/.rels
Origin: CN
https://t.co/d0swLlDWso  #Dr_FarFar",3XS0,No Data,twitter,1.5466616620143165e+18,5467.0,11284.0
2022-07-12T00:39:26,"In this week’s @FortiGuardLabs Threat Intelligence Brief we discuss how to stay cyber safe with the increase in travel, a fileless attack involving #Follina and #Rozena, #ransomware updates, and more: https://t.co/8BvnATK1lp https://t.co/6HrLhVOyuK",G_Freudenthal,No Data,twitter,1.5466554383091466e+18,12.0,12.0
2022-07-11T22:14:01,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/wbKqkyuybw,ebcovert3,No Data,twitter,1.5466188430234173e+18,1127.0,919.0
2022-07-11T22:00:01,#ICYMI: SimSpace’s Matt Keily and Alex Jojnes sat down to chat about the #Follina Microsoft Zero Day vulnerability and how to protect against it. Missed the webinar live?  Watch it here. https://t.co/VtkqRycL5h,cingulus,No Data,twitter,1.5466153178284073e+18,2789.0,1154.0
2022-07-11T19:42:43,"Hackers Exploiting Follina Bug to Deploy Rozena Backdoor 
A newly observed phishing campaign is leveraging the recently disclosed Follina security vulnerability to distribute a previously undocumented backdoor on Windows systems.
""Rozena is a backdoor ma… https://t.co/M1Kkwc5TDW",two_minwarning,No Data,twitter,1.5465807645606134e+18,826.0,540.0
2022-07-11T19:32:04,Уязвимость Follina используется для установки бэкдора Rozena https://t.co/PSdQ5VOkHj https://t.co/WYJ8JJljdu https://t.co/DOMKV9Yu5s,AlMefison,No Data,twitter,1.5465780876214477e+18,0.0,5.0
2022-07-11T19:15:00,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/bgXrND11Da,kentonsmith,No Data,twitter,1.546573793333756e+18,1106.0,720.0
2022-07-11T18:54:38,#Hackers Exploiting #Follina #Bug to Deploy #Rozena #Backdoor https://t.co/jbLsGQ2O3K,miguelcarvajalm,No Data,twitter,1.546568665666949e+18,759.0,436.0
2022-07-11T18:15:04,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/JvoMsg8u7X,CanCyberNetwork,No Data,twitter,1.5465587097106842e+18,12125.0,13211.0
2022-07-11T18:00:34,"Уязвимость Follina используется для установки бэкдора Rozena

https://t.co/Dz16quMEIK https://t.co/WOOZLe76Gy",XakepRU,No Data,twitter,1.5465550581495235e+18,534.0,50473.0
2022-07-11T17:55:29,"Hackers Exploiting Follina Bug to Deploy Rozena Backdoor
https://t.co/T5MEbeaqpJ
#Cybersecurity  #Innovation #Fintech #Startups #AI #ML #DigitalTransformation",_silvino_,No Data,twitter,1.5465537784422236e+18,901.0,1061.0
2022-07-11T17:26:37,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/YbIZbY1gqL #TheHackerNews #MSExpertTalk #Security,Riazjavedbutt,No Data,twitter,1.5465465157532754e+18,376.0,407.0
2022-07-11T17:16:43,"Hackers Exploiting Follina Bug to Deploy Rozena Backdoor
https://t.co/6JlPRt4U6g
A newly observed phishing campaign is leveraging the recently disclosed Follina security vulnerability to distribute a previously undocumented backdoor on Windows systems. ""Rozena is a backdoor malwa",M157q_News_RSS,No Data,twitter,1.5465440226465628e+18,0.0,1042.0
2022-07-11T15:08:38,RT TowardsCybersec: A newly observed phishing campaign is leveraging the recently disclosed Follina security vulnerability to distribute a… Translated using #MicrosoftFlow,CSA_DVillamizar,No Data,twitter,1.5465117902924923e+18,740.0,1518.0
2022-07-11T15:05:19,"A newly observed phishing campaign is leveraging the recently disclosed Follina security vulnerability to distribute a previously undocumented backdoor on Windows systems.

#cybersecurity #security #infosec #infosecurity #Follina #Microsoft #vulnerable #BUG #Exploitation #hack https://t.co/6R8XbhL4Jk",TowardsCybersec,No Data,twitter,1.5465109581508157e+18,88.0,437.0
2022-07-11T13:55:31,Threat Actors Delivers New Rozena backdoor with Follina Bug – Detection &amp;amp; Response - Security Investigation - https://t.co/IKaCrReezD,moton,No Data,twitter,1.546493390325293e+18,560.0,515.0
2022-07-11T13:50:02,"#Hackers exploiting the “Follina” #vulnerability to infect Windows systems with the “Rozena” backdoor. https://t.co/q0AytM9Iza

#infosec #cybersecurity #hacking #pentesting #redteam",misaelban,No Data,twitter,1.5464920109404733e+18,714.0,667.0
2022-07-11T13:26:48,Hackers exploiting the “Follina” #vulnerability to infect Windows systems with the “Rozena” backdoor. https://t.co/xhEJL8JOlK,MKEITservices,No Data,twitter,1.546486162734416e+18,1.0,0.0
2022-07-11T13:15:30,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/CC1ppL459y via @TheHackersNews,Visual_Media_Fx,No Data,twitter,1.5464833196966625e+18,14.0,2.0
2022-07-11T13:03:00,June’s Patch Tuesday Tackles Follina and Scores More Software Vulnerabilities https://t.co/AkTUfgbMIZ,GDPRbuzz,No Data,twitter,1.5464801763217777e+18,2456.0,3819.0
2022-07-11T12:32:03,"#Hackers are exploiting the #Follina bug to deploy the #Rozena #malware.
#CyberSecurity #infosec #cybercrime
https://t.co/YLPnxMU6Yy https://t.co/E3BXRuGCvi",twelvesec,No Data,twitter,1.5464723848441364e+18,747.0,1333.0
2022-07-11T12:32:01,"Follina, microsoft office vulnerability, also affects foxit pdf reader; no patches available https://t.co/azXe5DrWox",AsimRahal,No Data,twitter,1.5464723765856707e+18,141.0,185.0
2022-07-11T12:04:01,Rozena backdoor delivered by exploiting the Follina bug https://t.co/uhZZMB11xb by @securityaffairs,beuchelt,No Data,twitter,1.5464653290475356e+18,547.0,831.0
2022-07-11T11:47:55,"[ALERT] Be careful of a new malware #Rozena that exploits CVE-2022-30190 #Follina to trigger back a remote shell connection.
We collected hundreds of IoVs (Indicators of Vulnerability).
Patch Now if not done yet !!! https://t.co/ROkX4Vnanw",ToolsWatch,No Data,twitter,1.5464612777693184e+18,308.0,18716.0
2022-07-11T11:47:35,"[ALERT] Be careful of a new malware #Rozena that exploits CVE-2022-30190 #Follina to trigger back a remote shell connection.
We collected hundreds of IoVs (Indicators of Vulnerability).
Patch Now if not done yet !!! https://t.co/syefpIajD1",vFeed_IO,No Data,twitter,1.5464611940007813e+18,107.0,1239.0
2022-07-11T11:36:00,"This week in Vulnerability Weekly 

Full Details: https://t.co/RybqFr6YU9 

This week we deep dive into OPENSSL Hearbleed2, Apache Common, CuteBoi NPM exploit, Iconburst NPM exploit, Orbit attack, Follina Weaponization, Chrome’s latest vulnerabilities

Ap…https://t.co/WAh2N41PlT",FrankSEC42,No Data,twitter,1.5464582815264113e+18,1499.0,6099.0
2022-07-11T11:02:42,[Video] let’s play with a ZERO-DAY vulnerability “follina” https://t.co/Gvv0uf6qZX https://t.co/6pmDoFTCdq,myinternetdotmy,No Data,twitter,1.5464499018144236e+18,1800.0,913.0
2022-07-11T11:02:02,"The Hacker News
Hackers Exploiting Follina Bug to Deploy Rozena Backdoor

July 09, 2022
https://t.co/83iIFBfOgp https://t.co/3y5RkF8RRN",cyberEyesLive,No Data,twitter,1.546449731131515e+18,10.0,10.0
2022-07-11T10:43:29,"Hackers Exploiting Follina Bug to Deploy Rozena Backdoor
#hackers #Follina #Rozena #securitybreach #security #Cybersecurity #Bug #cybersecuritytips #securitynews
https://t.co/8ZeCtyLzWy https://t.co/5RSrNCQ84n",ReconBee,No Data,twitter,1.5464450642428887e+18,126.0,65.0
2022-07-11T10:06:14,A newly observed phishing campaign is leveraging the recently disclosed Follina security vulnerability to distribute a previously undocumented backdoor on Windows system 🤖🛡  #malware  #hacking https://t.co/QSG6vUSazd,manuelbissey,No Data,twitter,1.546435689708929e+18,476.0,384.0
2022-07-11T10:05:38,"Previously undocumented #Rozena #backdoor delivered by exploiting the Follina bug.
https://t.co/o6jQyr6ztW
#securityaffairs #hacking #malware",securityaffairs,No Data,twitter,1.5464355382651945e+18,3965.0,34356.0
2022-07-11T09:44:50,"Daily Summary #Cyberattacks 11 july 

🔵Threat actors distribute Rozena backdoor via Follina vulnerability exploitation

🔵0mega, a new ransomware targeting organizations globally 

More info https://t.co/Qp7Hrs6fBo https://t.co/KR869kAz8e",S21sec,No Data,twitter,1.5464303062861906e+18,1060.0,9952.0
2022-07-11T08:50:03,"This week on Vulnerability Weekly: https://t.co/FZhM6Rl90h 
OPENSSL Hearbleed2, Apache Common, CuteBoi NPM exploit, Iconburst NPM exploit, Orbit attack, Follina Weaponization, Chrome’s latest vulnerabilities

#cyber #cybersecurity #vulnerability #app #appsec #cloud #vuln #cve https://t.co/TjCRo16gwn",FrankSEC42,No Data,twitter,1.546416515750191e+18,1499.0,6099.0
2022-07-11T08:11:32,Rozena backdoor delivered by exploiting the Follina bug #Cybersecurity #security  https://t.co/PKZVbnQvt9,cybersecboardrm,No Data,twitter,1.5464068227220111e+18,17042.0,46190.0
2022-07-11T08:07:24,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/rezW1bkraY,CEOofDSS,No Data,twitter,1.5464057854496686e+18,434.0,165.0
2022-07-11T08:07:24,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/m6hcXTxTlP,CEOofDSS,No Data,twitter,1.546405784505942e+18,434.0,165.0
2022-07-11T07:56:22,"Previously undocumented #Rozena #backdoor delivered by exploiting the Follina bug
https://t.co/o6jQyr6ztW
#securityaffairs #hacking #malware",securityaffairs,No Data,twitter,1.5464030078809948e+18,3965.0,34356.0
2022-07-11T06:54:01,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/Hv3jx2JxcT,youcef84731359,No Data,twitter,1.546387316838699e+18,0.0,13.0
2022-07-11T06:40:55,"In this week’s @FortiGuardLabs Threat Intelligence Brief we discuss how to stay cyber safe with the increase in travel, a fileless attack involving #Follina and #Rozena, #ransomware updates, and more: https://t.co/HIsQnl2g1j https://t.co/7O8s6AXAIK",BigZiii,No Data,twitter,1.5463840191468175e+18,77.0,54.0
2022-07-11T06:40:21,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor - The Hacker News https://t.co/dAP3UcS1Hm,FookNews,No Data,twitter,1.5463838756346143e+18,10.0,306.0
2022-07-11T06:38:22,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/6QpYQ7raJg #follina #CyberSecurity,YorickReintjens,No Data,twitter,1.5463833779258245e+18,710.0,982.0
2022-07-11T06:15:48,"XFiles Malware Exploits Follina, Expands ItsAttacks #Cybersecurity #security via https://t.co/olBiC9iZIh https://t.co/k8v3RswUUG",MnkeniFrancis,No Data,twitter,1.5463777003859968e+18,1136.0,1162.0
2022-07-11T06:03:17,"#Follina bug being exploited by Hackers

The #Phishing campaign is leveraging the recently disclosed Follina security vulnerability to distribute a previously undocumented backdoor on #Windows systems.",ForenzyN,No Data,twitter,1.5463745480940954e+18,0.0,22.0
2022-07-11T04:45:00,Rozena backdoor delivered by exploiting the Follina bug https://t.co/x4itAFyFhM,PatrickCMiller,No Data,twitter,1.5463548502371901e+18,2853.0,8050.0
2022-07-11T04:36:56,"Hackers exploited a flaw in Follina to install Rozena backdoor
 #follina #rozena #backdoor #discordserver 
https://t.co/gCxrfSPU6z",cyber_nari,No Data,twitter,1.546352819455664e+18,0.0,2.0
2022-07-11T03:47:57,Article intéressant sur le principe global de la vulnérabilité Follina. https://t.co/IaKxPNKBQf,_Nidouille_,No Data,twitter,1.546340491087827e+18,605.0,1864.0
2022-07-11T03:22:33,"""RT @TheHackersNews: Hackers exploiting the “Follina” #vulnerability to infect Windows systems with the “Rozena” backdoor.

Read: https://t.co/PhvNQnmXVR

#infosec #cybersecurity #hacking""",trip_elix,No Data,twitter,1.546334098163204e+18,32700.0,32692.0
2022-07-11T03:21:54,"RT TheHackersNews ""RT @TheHackersNews: Hackers exploiting the “Follina” #vulnerability to infect Windows systems with the “Rozena” backdoor.

Read: https://t.co/8rTNVGl5Bp

#infosec #cybersecurity #hacking"" Stay up-to-date: https://t.co/m6tBp3UgeL",AusRealNews,No Data,twitter,1.5463339354829332e+18,1391.0,271.0
2022-07-11T02:28:28,"The Hacker News: Hackers Exploiting Follina Bug to Deploy Rozena Backdoor.
https://t.co/xYmRrPdK6B

via @GoogleNews",lawweiliang,No Data,twitter,1.5463204906958397e+18,2430.0,86.0
2022-07-11T01:26:08,"Hackers Exploiting Follina Bug to Deploy Rozena #Backdoor
https://t.co/08wPu3JJpG
#bugbounty #secpycommunity #cybersecurity",SecpyCommunity,No Data,twitter,1.5463048007356703e+18,13.0,17.0
2022-07-11T00:47:46,"マクロ無効化でも防げない　MS製品のゼロデイ脆弱性を解説 - キーマンズネット https://t.co/1CioSquSNr 
""Microsoft Officeにおける全てのバージョンのファイルに影響を与え、マクロ無効化でも防げない脆弱性「Follina」が発見された。有識者やMicrosoftの発表やガイダンスを基に、Follinaの…""",catnap707,No Data,twitter,1.5462951453555507e+18,1445.0,2457.0
2022-07-10T23:54:36,"In this week’s @FortiGuardLabs Threat Intelligence Brief we discuss how to stay cyber safe with the increase in travel, a fileless attack involving #Follina and #Rozena, #ransomware updates, and more: https://t.co/KM3lOCIq4a https://t.co/zcoxyj2Nak",W_Gartner,No Data,twitter,1.5462817671534182e+18,63.0,8.0
2022-07-10T23:45:01,"XFiles Malware Exploits Follina, Expands ItsAttacks #Cybersecurity #security via https://t.co/Yd1zxcM76n https://t.co/EXHCU4wWYO",enderton_justin,No Data,twitter,1.5462793550301143e+18,4993.0,2659.0
2022-07-10T23:36:46,"قراصنة يستغلون ثغرة ""Follina"" التي تم الكشف عنها مؤخرًا لتوزيع باب خلفي غير موثق سابقًا على أنظمة ويندوز 
 #الأمن_السيبراني https://t.co/fWwyMG1EqC",CyberDaiber,No Data,twitter,1.546277278161576e+18,3.0,12589.0
2022-07-10T23:34:23,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/Wx2mDhXaUP https://t.co/t2ggqR9NWe,rennie62,No Data,twitter,1.5462766809557238e+18,1007.0,252.0
2022-07-10T23:30:00,"XFiles Malware Exploits Follina, Expands Its Attacks

https://t.co/igKsdtC7zC #follina #xfiles #CyberSecurity #cybersec #cybercrime",_Vault_Security,No Data,twitter,1.5462755752071455e+18,223.0,754.0
2022-07-10T21:02:36,"Apparently this is the very first sample (#Follina) found in the wild. (CVE-2022-30190). It ended up in InQuest Labs. 2022-04-08 12:38:14

https://t.co/hzxEODWK3X",DmitriyMelikov,No Data,twitter,1.546238480447148e+18,240.0,1280.0
2022-07-10T20:38:05,"Hackers Exploiting Follina Bug to Deploy Rozena Backdoor https://t.co/SYFlrTT1Xi via @TheHackersNews dis for you 
Haha",jokergameingyt,No Data,twitter,1.5462323116954173e+18,14.0,0.0
2022-07-10T20:36:21,"#Hacking #RozenaBackdoor #WindowsVulnerability #Malware #Vulnerability #CyberCrime #CyberAttack #CyberSecurity 
Threat actors are exploiting the disclosed Follina Windows vulnerability to distribute the Rozena backdoor.
https://t.co/cp1Kz1LALs https://t.co/CRosp4c5JW",Richard_S81,No Data,twitter,1.5462318749342474e+18,516.0,1042.0
2022-07-10T20:21:02,"In this week’s @FortiGuardLabs Threat Intelligence Brief we discuss how to stay cyber safe with the increase in travel, a fileless attack involving #Follina and #Rozena, #ransomware updates, and more: https://t.co/bX05A0cEAA https://t.co/iDstQcYj8u",FortiMasters,No Data,twitter,1.546228020842795e+18,27.0,0.0
2022-07-10T20:19:14,"#cysecurity #cysecuritynews #India
Rozena Backdoor Deployed by Abusing the Follina Vulnerability https://t.co/AROHhQ8YPv через @EHackerNews",Anna404404404,No Data,twitter,1.5462275685793219e+18,19.0,0.0
2022-07-10T18:27:10,Rozena backdoor delivered by exploiting the Follina bug https://t.co/2W2MkBukWp,R_Rissmann,No Data,twitter,1.5461993676814582e+18,3563.0,3817.0
2022-07-10T18:06:46,"In this week’s @FortiGuardLabs Threat Intelligence Brief we discuss how to stay cyber safe with the increase in travel, a fileless attack involving #Follina and #Rozena, #ransomware updates, and more: https://t.co/Y5ToRzg97M https://t.co/mESQ5zIA8U",kingburnie,No Data,twitter,1.5461942338534154e+18,481.0,224.0
2022-07-10T17:19:21,@Windows Thanks! But I will like to ask that the issue with follina has been resolved or not?,NakshatraBose,No Data,twitter,1.5461822981185372e+18,180.0,3.0
2022-07-10T16:48:11,Hackers Exploiting Follina Bug to Deploy Rozena Backdoor. https://t.co/4RoosSFYZu,AlexNguyen65,No Data,twitter,1.5461744561245635e+18,0.0,37.0
2022-07-10T15:48:06,Rozena backdoor delivered by exploiting the Follina bug https://t.co/V92YFE0XGm,RenatomrfNeves,No Data,twitter,1.5461593347779215e+18,115.0,45.0
2022-07-10T15:06:38,Rozena Backdoor Deployed by Abusing the Follina Vulnerability https://t.co/vETWoZs9Z5,IT_securitynews,No Data,twitter,1.546148900570112e+18,616.0,10127.0
